company_id,company_name,profile_url,jobs_count,description
24714,Forsvaret,https://www.jobindex.dk/virksomhed/24714/forsvaret,99,"I Forsvaret arbejder vi alle i en større sags tjeneste. Vores fælles opgave er med militære midler at bidrage til løsning af konfliktforebyggende, fredsbevarende, fredsskabende og humanitære opgaver."
4078,DUOS A/S,https://www.jobindex.dk/virksomhed/4078/duos-a-s,95,"I DUOS har vi mere end 26 års erfaring med at arbejde med livskvalitet og trivsel for børn og voksne med funktionsnedsættelser, psykiske og sociale udfordringer."
10220,Lidl Danmark K/S,https://www.jobindex.dk/virksomhed/10220/lidl-danmark-k-s,36,"Hos os bliver du en del af et stærkt fællesskab, hvor alle tager ansvar og gør hinanden bedre."
2240,DSB,https://www.jobindex.dk/virksomhed/2240/dsb,24,Som medarbejder hos DSB får du ikke blot et nyt job – du bliver også en del af et stort fællesskab med en rig historie.
18928,BAUHAUS,https://www.jobindex.dk/virksomhed/18928/bauhaus,21,"BAUHAUS er en mangfoldig og værdibaseret arbejdsplads med en stærk kultur, som er præget af frihed til at træffe selvstændige beslutninger."
228,Everllence,https://www.jobindex.dk/virksomhed/228/everllence,20,"MAN Energy Solutions is endeavouring to counter the growing demands and stresses of day-to-day working life by fostering a positive, developing work environment."
264,Nykredit,https://www.jobindex.dk/virksomhed/264/nykredit,18,Nykredit er landets største långiver – den største til boligejerne og en af de største til små og mellemstore virksomheder.
8985,Semler Gruppen,https://www.jobindex.dk/virksomhed/8985/semler-gruppen,18,Semler Gruppen er Danmarks største bilaktør med over 100 års erfaring inden for import og salg af biler.
4843,Vallensbæk Kommune,https://www.jobindex.dk/virksomhed/4843/vallensbaek-kommune,18,I Vallensbæk Kommune får du det bedste fra mange verdener. Du bliver en del af et stort fællesskab med 1300 ansatte.
10976,Banedanmark,https://www.jobindex.dk/virksomhed/10976/banedanmark,16,"I Banedanmark får du over 2500 kolleger med meget forskellige fagligheder og baggrunde, som alle spiller en vigtig rolle i at drive og udvikle fremtidens jernbane."
